$DATA1 SOURCE='HSPICE' VERSION='H-2013.03-SP1 32-BIT'
$OPTION MEASFORM=3
.TITLE '*ama1 validation'
tplh_a00,tplh_a01,tplh_a10,tplh_a11,tphl_a00,tphl_a01,tphl_a10,tphl_a11,e_in,e_fa,e_out,temper,alter#
2.685e-11, 2.714e-11, 2.727e-11, 2.716e-11, 2.861e-11, 2.894e-11, 2.882e-11, 2.868e-11,-5.429e-15,-3.278e-15,-4.413e-15,  25.0000,1
